id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,first_priced_at
BTC,BTC,BTC,Bitcoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/btc.svg,active,45786.96847301,2021-09-20T00:00:00Z,2021-09-20T06:21:00Z,18821056,21000000,861759097701,0.3679,390,64653,5158,2011-08-18T00:00:00Z,2011-08-18T00:00:00Z,2017-01-06T00:00:00Z,1,0,63589.33815218,2021-04-13T00:00:00Z,
ETH,ETH,ETH,Ethereum,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/eth.svg,active,3195.40864133,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,117597510,,375772100049,0.1604,412,50133,40682,2015-08-07T00:00:00Z,2015-08-07T00:00:00Z,2018-08-29T00:00:00Z,2,0,4179.85911287,2021-05-11T00:00:00Z,
HEX,HEX,HEX,HEX,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HEX.png,active,0.44666127,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,572167335152,635086805681,255564988205,0.1091,31,94,2,2019-12-13T00:00:00Z,2020-05-18T00:00:00Z,2020-03-11T00:00:00Z,3,0,0.48746840,2021-09-18T00:00:00Z,
ADA,ADA,ADA,Cardano,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ada.svg,active,2.17647657,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,32066390668,45000000000,69791747850,0.0298,120,380,1,2017-10-01T00:00:00Z,2017-11-22T00:00:00Z,2018-08-29T00:00:00Z,4,0,2.96769695,2021-09-03T00:00:00Z,
USDT,USDT,USDT,Tether,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/usdt.svg,active,1.00234062,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,69344506787,,69506815808,0.0297,347,41833,10280,2013-12-27T00:00:00Z,2013-12-27T00:00:00Z,2018-08-29T00:00:00Z,5,0,1.09052568,2017-12-23T00:00:00Z,
BNB,BNB,BNB,Binance Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bnb.svg,active,392.83710422,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,154533652,170533652,60706552317,0.0259,156,8005,348470,2017-07-14T00:00:00Z,2017-07-14T00:00:00Z,2018-08-29T00:00:00Z,6,0,676.99174754,2021-05-03T00:00:00Z,
XRP,XRP,XRP,XRP,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/XRP.svg,active,0.98860513,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,46622239005,100000000000,46090984479,0.0197,259,1679,56,2013-05-09T00:00:00Z,2013-05-09T00:00:00Z,2018-08-29T00:00:00Z,7,0,2.75718617,2018-01-07T00:00:00Z,
SOL,SOL,SOL,Solana,https://nomics-api.s3.us-east-2.amazonaws.com/static/images/currencies/SOL2.jpg,active,144.33454027,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,296967275,488630611,42862635091,0.0183,67,152,20,2020-04-07T00:00:00Z,2020-04-10T00:00:00Z,2020-04-07T00:00:00Z,8,0,191.67767695,2021-09-08T00:00:00Z,
DOT,DOT,DOT,Polkadot,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/DOT.svg,active,31.55944835,2021-09-20T00:00:00Z,2021-09-20T06:21:00Z,1031070788,1112019921,32540025279,0.0139,116,337,0,2019-06-03T00:00:00Z,2019-08-27T00:00:00Z,2019-08-28T00:00:00Z,9,0,369.78585305,2020-08-12T00:00:00Z,
USDC,USDC,USDC,USD Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/usdc.svg,active,1.00216325,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,29454797813,29454797813,29518515913,0.0126,199,2931,2781,2018-09-27T00:00:00Z,2018-09-27T00:00:00Z,2018-10-26T00:00:00Z,10,1,1.03029688,2019-05-02T00:00:00Z,
DOGE,DOGE,DOGE,Dogecoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/doge.svg,active,0.22354601,2021-09-20T00:00:00Z,2021-09-20T06:21:00Z,131351872546,,29363186897,0.0125,208,2843,1002,2014-01-21T00:00:00Z,2014-01-21T00:00:00Z,2018-09-12T00:00:00Z,11,-1,0.68788386,2021-05-07T00:00:00Z,
AVAX,AVAX,AVAX,Avalanche,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AVAX.svg,active,65.55901277,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,220286577,391128419,14441770529,0.0062,46,248,891,2020-07-08T00:00:00Z,2020-07-22T00:00:00Z,2020-07-08T00:00:00Z,12,0,70.32476890,2021-09-17T00:00:00Z,
UNI,UNI,UNI,Uniswap Protocol Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/UNISWAP.svg,active,22.82880511,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,612657267,1000000000,13986233360,0.0060,164,655,50,2019-06-03T00:00:00Z,2020-09-17T00:00:00Z,2019-10-11T00:00:00Z,13,0,43.21802420,2021-05-04T00:00:00Z,
